"","Number","File","Date","Subject","Result","TA_Tally","NIL_Tally"
"267","267","Ireland-seanad-minutes-2013November06-p25.html","2013/11/ 6","06/Nov/2013 Social Welfare and Pensions Bill 2013: Committee Stage (Continued)","Amendment declared lost.","17","35"
"268","268","Ireland-seanad-minutes-2013November06-p31.html","2013/11/ 6","06/Nov/2013 Social Welfare and Pensions Bill 2013: Committee Stage (Continued)","Question declared carried.","32","18"
"269","269","Ireland-seanad-minutes-2013November06-p34.html","2013/11/ 6","06/Nov/2013 Social Welfare and Pensions Bill 2013: Committee Stage (Continued)","Question declared carried.","30","23"
"270","270","Ireland-seanad-minutes-2013November06-p41.html","2013/11/ 6","06/Nov/2013 Social Welfare and Pensions Bill 2013: Committee Stage (Continued)","Question declared carried.","31","17"
"271","271","Ireland-seanad-minutes-2013November06-p50.html","2013/11/ 6","06/Nov/2013 Social Welfare and Pensions Bill 2013: Committee Stage (Continued)","Question declared carried.","30","19"
"272","272","Ireland-seanad-minutes-2013November06-p54.html","2013/11/ 6","06/Nov/2013 Social Welfare and Pensions Bill 2013: Committee Stage (Continued)","Amendment declared lost.","17","30"
"273","273","Ireland-seanad-minutes-2013November06-p54.html","2013/11/ 6","06/Nov/2013 Social Welfare and Pensions Bill 2013: Committee Stage (Continued)","Question declared carried.","31","17"
"274","274","Ireland-seanad-minutes-2013November06-p59.html","2013/11/ 6","06/Nov/2013 Social Welfare and Pensions Bill 2013: Committee Stage (Continued)","Question declared carried.","30","17"
"275","275","Ireland-seanad-minutes-2013November06-p62.html","2013/11/ 6","06/Nov/2013 Social Welfare and Pensions Bill 2013: Committee Stage (Continued)","Question declared carried.","30","18"
"276","276","Ireland-seanad-minutes-2013November07-p14.html","2013/11/ 7","07/Nov/2013 Social Welfare and Pensions Bill 2013: Report Stage (Continued)","Amendment declared lost.","21","31"
"277","277","Ireland-seanad-minutes-2013November07-p16.html","2013/11/ 7","07/Nov/2013 Social Welfare and Pensions Bill 2013: Report Stage (Continued)","Question declared carried.","30","19"
"278","278","Ireland-seanad-minutes-2013November07-p19.html","2013/11/ 7","07/Nov/2013 Social Welfare and Pensions Bill 2013: Fifth Stage (Continued)","Question declared carried.","32","17"
"279","279","Ireland-seanad-minutes-2013November07-p7.html","2013/11/ 7","07/Nov/2013 Order of Business (Continued)","Amendment declared lost.","15","31"
"280","280","Ireland-seanad-minutes-2013November13-p37.html","2013/11/13","13/Nov/2013 Electricity Transmission Network: Motion (Continued)","Amendment declared carried.","26","25"
"281","281","Ireland-seanad-minutes-2013November13-p38.html","2013/11/13","13/Nov/2013 Electricity Transmission Network: Motion (Continued)","Question declared carried.","26","24"
"282","282","Ireland-seanad-minutes-2013November13-p7.html","2013/11/13","13/Nov/2013 Order of Business (Continued)","Amendment declared lost.","16","24"
"283","283","Ireland-seanad-minutes-2013November19-p16.html","2013/11/19","19/Nov/2013 Order of Business (Continued)","Amendment declared lost."," 6","24"
"284","284","Ireland-seanad-minutes-2013November20-p10.html","2013/11/20","20/Nov/2013 Order of Business (Continued)","Amendment declared lost.","21","27"
"285","285","Ireland-seanad-minutes-2013November26-p14.html","2013/11/26","26/Nov/2013 Order of Business (Continued)","Amendment declared lost.","19","27"
"286","286","Ireland-seanad-minutes-2013November26-p15.html","2013/11/26","26/Nov/2013 Order of Business (Continued)","Question declared carried.","27","18"
"287","287","Ireland-seanad-minutes-2013November27-p30.html","2013/11/27","27/Nov/2013 Companies (Miscellaneous Provisions) Bill 2013: Report and Final Stages (Continued)","Amendment declared lost.","18","23"
"288","288","Ireland-seanad-minutes-2013November27-p7.html","2013/11/27","27/Nov/2013 Order of Business (Continued)","Amendment declared lost.","16","26"
"289","289","Ireland-seanad-minutes-2013November28-p13.html","2013/11/28","28/Nov/2013 Oireachtas (Ministerial and Parliamentary Offices) (Amendment) Bill 2013: Report and Final Stages (Continued)","Amendment declared lost.","21","25"
"290","290","Ireland-seanad-minutes-2013November28-p29.html","2013/11/28","28/Nov/2013 Social Welfare and Pensions (No. 2) Bill 2013: Committee Stage (Continued)","Amendment declared lost.","12","27"
"291","291","Ireland-seanad-minutes-2013November28-p9.html","2013/11/28","28/Nov/2013 Order of Business (Continued)","Amendment declared lost.","19","26"
"292","292","Ireland-seanad-minutes-2013October01-p17.html","2013/10/ 1","01/Oct/2013 Order of Business (Continued)","Amendment declared lost.","18","24"
"293","293","Ireland-seanad-minutes-2013October02-p37.html","2013/10/ 2","02/Oct/2013 Upward Only Rent (Clauses and Reviews) Bill 2013: Second Stage (Continued)","Question declared carried.","27","23"
"294","294","Ireland-seanad-minutes-2013October16-p15.html","2013/10/16","16/Oct/2013 Taxi Regulation Bill 2012: [Seanad Bill amended by the DÃ¡il] Report and Final Stages (Continued)","Amendment declared lost.","14","32"
"295","295","Ireland-seanad-minutes-2013October16-p29.html","2013/10/16","16/Oct/2013 Statistics (Heritage Amendment) Bill 2011: Second Stage (Continued)","Question declared lost.","14","27"
"296","296","Ireland-seanad-minutes-2013October17-p19.html","2013/10/17","17/Oct/2013 Gas Regulation Bill 2013: Second Stage (Continued)","Question declared.","26","14"
"297","297","Ireland-seanad-minutes-2013October22-p14.html","2013/10/22","22/Oct/2013 Order of Business (Continued)","Amendment declared lost.","12","22"
"298","298","Ireland-seanad-minutes-2013October22-p15.html","2013/10/22","22/Oct/2013 Order of Business (Continued)","Question declared carried.","23","12"
"299","299","Ireland-seanad-minutes-2013October24-p8.html","2013/10/24","24/Oct/2013 Order of Business (Continued)","Amendment declared lost.","14","24"
"300","300","Ireland-seanad-minutes-2013September18-p21.html","2013/9/18","18/Sep/2013 Order of Business (Continued)","Amendment declared lost.","20","29"
"301","301","Ireland-seanad-minutes-2013September18-p45.html","2013/9/18","18/Sep/2013 Junior Cycle Reform: Motion (Continued)","Amendment declared carried.","23"," 8"
"302","302","Ireland-seanad-minutes-2013September25-p45.html","2013/9/25","25/Sep/2013 Services for People with Disabilities: Motion (Continued)","Amendment declared carried.","22","15"
"303","303","Ireland-seanad-minutes-2013September25-p46.html","2013/9/25","25/Sep/2013 Services for People with Disabilities: Motion (Continued)","Question declared carried.","23","15"
"304","304","Ireland-seanad-minutes-2013September26-p9.html","2013/9/26","26/Sep/2013 Order of Business (Continued)","Amendment declared lost.","17","27"
"305","305","Ireland-seanad-minutes-2014April01-p20.html","2014/4/ 1","01/Apr/2014 Order of Business (Continued)","Amendment declared lost.","19","21"
"306","306","Ireland-seanad-minutes-2014April02-p7.html","2014/4/ 2","02/Apr/2014 Order of Business (Continued)","Amendment declared lost.","14","23"
"307","307","Ireland-seanad-minutes-2014April03-p7.html","2014/4/ 3","03/Apr/2014 Order of Business (Continued)","Amendment declared lost.","12","24"
"308","308","Ireland-seanad-minutes-2014April03-p8.html","2014/4/ 3","03/Apr/2014 Order of Business (Continued)","Amendment declared lost.","12","23"
"309","309","Ireland-seanad-minutes-2014April08-p12.html","2014/4/ 8","08/Apr/2014 Order of Business (Continued)","Amendment declared lost.","13","21"
"310","310","Ireland-seanad-minutes-2014April09-p27.html","2014/4/ 9","09/Apr/2014 Care of the Elderly: Motion (Continued)","Amendment declared carried.","23","14"
"311","311","Ireland-seanad-minutes-2014April09-p27.html","2014/4/ 9","09/Apr/2014 Care of the Elderly: Motion (Continued)","Question declared carried.","23","16"
"312","312","Ireland-seanad-minutes-2014April09-p7.html","2014/4/ 9","09/Apr/2014 Order of Business (Continued)","Amendment declared lost.","15","24"
"313","313","Ireland-seanad-minutes-2014April10-p17.html","2014/4/10","10/Apr/2014 Statute of Limitations (Amendment) (Home Remediation-Pyrite) Bill 2012: Second Stage (Resumed) (Continued)","Question declared lost.","17","20"
"314","314","Ireland-seanad-minutes-2014April16-p10.html","2014/4/16","16/Apr/2014 Order of Business (Continued)","Question declared carried.","24","15"
"315","315","Ireland-seanad-minutes-2014April16-p16.html","2014/4/16","16/Apr/2014 Electoral (Amendment) (No. 2) Bill 2014: Committee and Remaining Stages (Continued)","Question declared carried.","21"," 9"
"316","316","Ireland-seanad-minutes-2014April16-p9.html","2014/4/16","16/Apr/2014 Order of Business (Continued)","Amendment declared lost.","16","24"
"317","317","Ireland-seanad-minutes-2014December02-p2.html","2014/12/ 2","02/Dec/2014 Prelude","Amendment declared lost.","12","26"
"318","318","Ireland-seanad-minutes-2014December02-p2.html","2014/12/ 2","02/Dec/2014 Prelude","Question declared carried.","23","17"
"319","319","Ireland-seanad-minutes-2014December03-p2.html","2014/12/ 3","03/Dec/2014 Prelude","Amendment declared lost.","21","25"
"320","320","Ireland-seanad-minutes-2014December04-p2.html","2014/12/ 4","04/Dec/2014 Prelude","Question declared carried.","24","14"
"321","321","Ireland-seanad-minutes-2014December09-p2.html","2014/12/ 9","09/Dec/2014 Prelude","Amendment declared lost.","20","23"
"322","322","Ireland-seanad-minutes-2014December09-p2.html","2014/12/ 9","09/Dec/2014 Prelude","Amendment declared lost.","18","24"
"323","323","Ireland-seanad-minutes-2014December09-p2.html","2014/12/ 9","09/Dec/2014 Prelude","Question declared carried.","27","17"
"324","324","Ireland-seanad-minutes-2014December10-p2.html","2014/12/10","10/Dec/2014 Prelude","Question declared carried.","27","12"
"325","325","Ireland-seanad-minutes-2014December10-p2.html","2014/12/10","10/Dec/2014 Prelude","Question declared carried.","28","12"
"326","326","Ireland-seanad-minutes-2014December11-p2.html","2014/12/11","11/Dec/2014 Prelude","Recommendation declared lost.","16","23"
"327","327","Ireland-seanad-minutes-2014December11-p2.html","2014/12/11","11/Dec/2014 Prelude","Recommendation declared lost."," 9","29"
"328","328","Ireland-seanad-minutes-2014December11-p2.html","2014/12/11","11/Dec/2014 Prelude","Recommendation declared lost.","11","25"
"329","329","Ireland-seanad-minutes-2014December11-p2.html","2014/12/11","11/Dec/2014 Prelude","Recommendation declared lost."," 8","25"
"330","330","Ireland-seanad-minutes-2014December11-p2.html","2014/12/11","11/Dec/2014 Prelude","Recommendation declared carried."," 8","27"
"331","331","Ireland-seanad-minutes-2014December11-p2.html","2014/12/11","11/Dec/2014 Prelude","Question declared carried.","26","12"
"332","332","Ireland-seanad-minutes-2014December16-p2.html","2014/12/16","16/Dec/2014 Prelude","Amendment declared lost.","16","23"
"333","333","Ireland-seanad-minutes-2014December16-p2.html","2014/12/16","16/Dec/2014 Prelude","Recommendation declared lost.","18","28"
"334","334","Ireland-seanad-minutes-2014December16-p2.html","2014/12/16","16/Dec/2014 Prelude","Recommendation declared lost.","14","28"
"335","335","Ireland-seanad-minutes-2014December16-p2.html","2014/12/16","16/Dec/2014 Prelude","Recommendation declared lost.","21","25"
"336","336","Ireland-seanad-minutes-2014December16-p2.html","2014/12/16","16/Dec/2014 Prelude","Amendment declared carried.","23","12"
"337","337","Ireland-seanad-minutes-2014December17-p2.html","2014/12/17","17/Dec/2014 Prelude","Amendment declared lost.","16","25"
"338","338","Ireland-seanad-minutes-2014December17-p2.html","2014/12/17","17/Dec/2014 Prelude","Amendment declared lost.","15","27"
"339","339","Ireland-seanad-minutes-2014December17-p2.html","2014/12/17","17/Dec/2014 Prelude","Question declared carried.","30","14"
"340","340","Ireland-seanad-minutes-2014December17-p2.html","2014/12/17","17/Dec/2014 Prelude","Question declared carried.","29","12"
"341","341","Ireland-seanad-minutes-2014December17-p2.html","2014/12/17","17/Dec/2014 Prelude","Recommendation declared lost.","15","27"
"342","342","Ireland-seanad-minutes-2014December17-p2.html","2014/12/17","17/Dec/2014 Prelude","Recommendation declared lost.","12","28"
"343","343","Ireland-seanad-minutes-2014December17-p2.html","2014/12/17","17/Dec/2014 Prelude","Recommendation declared lost.","12","24"
"344","344","Ireland-seanad-minutes-2014December17-p2.html","2014/12/17","17/Dec/2014 Prelude","Recommendation declared lost.","15","26"
"345","345","Ireland-seanad-minutes-2014December17-p2.html","2014/12/17","17/Dec/2014 Prelude","Recommendation declared lost.","15","25"
"346","346","Ireland-seanad-minutes-2014December17-p2.html","2014/12/17","17/Dec/2014 Prelude","Amendment declared lost.","12","24"
"347","347","Ireland-seanad-minutes-2014December17-p2.html","2014/12/17","17/Dec/2014 Prelude","Amendment declared lost.","13","25"
"348","348","Ireland-seanad-minutes-2014December17-p2.html","2014/12/17","17/Dec/2014 Prelude","Amendment declared lost.","14","25"
"349","349","Ireland-seanad-minutes-2014December17-p2.html","2014/12/17","17/Dec/2014 Prelude","Amendment declared lost.","13","24"
"350","350","Ireland-seanad-minutes-2014December18-p2.html","2014/12/18","18/Dec/2014 Prelude","Amendment declared lost.","18","29"
"351","351","Ireland-seanad-minutes-2014December18-p2.html","2014/12/18","18/Dec/2014 Prelude","Question declared carried.","30","19"
"352","352","Ireland-seanad-minutes-2014December18-p2.html","2014/12/18","18/Dec/2014 Prelude","Question declared carried.","33","10"
"353","353","Ireland-seanad-minutes-2014December18-p2.html","2014/12/18","18/Dec/2014 Prelude","Question declared carried.","31","26"
"354","354","Ireland-seanad-minutes-2014December19-p2.html","2014/12/19","19/Dec/2014 Prelude","Amendment declared lost.","23","27"
"355","355","Ireland-seanad-minutes-2014December19-p2.html","2014/12/19","19/Dec/2014 Prelude","Amendment declared lost.","20","30"
"356","356","Ireland-seanad-minutes-2014December19-p2.html","2014/12/19","19/Dec/2014 Prelude","Question declared carried.","30","20"
"357","357","Ireland-seanad-minutes-2014December19-p2.html","2014/12/19","19/Dec/2014 Prelude","Question declared carried.","30","20"
"358","358","Ireland-seanad-minutes-2014December19-p2.html","2014/12/19","19/Dec/2014 Prelude","Question declared carried.","31","21"
"359","359","Ireland-seanad-minutes-2014December19-p2.html","2014/12/19","19/Dec/2014 Prelude","Amendment declared lost.","22","30"
"360","360","Ireland-seanad-minutes-2014December19-p2.html","2014/12/19","19/Dec/2014 Prelude","Amendment declared lost.","21","28"
"361","361","Ireland-seanad-minutes-2014December19-p2.html","2014/12/19","19/Dec/2014 Prelude","Question declared carried.","27","22"
"362","362","Ireland-seanad-minutes-2014December19-p2.html","2014/12/19","19/Dec/2014 Prelude","Amendment declared lost.","19","27"
"363","363","Ireland-seanad-minutes-2014December19-p2.html","2014/12/19","19/Dec/2014 Prelude","Question declared carried.","25","18"
"364","364","Ireland-seanad-minutes-2014December19-p2.html","2014/12/19","19/Dec/2014 Prelude","Question declared carried.","23","14"
"365","365","Ireland-seanad-minutes-2014December19-p2.html","2014/12/19","19/Dec/2014 Prelude","Question declared carried.","20","15"
"366","366","Ireland-seanad-minutes-2014December19-p2.html","2014/12/19","19/Dec/2014 Prelude","Question declared carried.","23","12"
"367","367","Ireland-seanad-minutes-2014December19-p2.html","2014/12/19","19/Dec/2014 Prelude","Question declared carried.","21","14"
"368","368","Ireland-seanad-minutes-2014December19-p2.html","2014/12/19","19/Dec/2014 Prelude","Question declared carried.","25"," 8"
"369","369","Ireland-seanad-minutes-2014December22-p2.html","2014/12/22","22/Dec/2014 Prelude","Amendment declared lost.","23","28"
"370","370","Ireland-seanad-minutes-2014December22-p2.html","2014/12/22","22/Dec/2014 Prelude","Amendment declared lost.","23","28"
"371","371","Ireland-seanad-minutes-2014December22-p2.html","2014/12/22","22/Dec/2014 Prelude","Amendment declared lost.","26","27"
"372","372","Ireland-seanad-minutes-2014December22-p2.html","2014/12/22","22/Dec/2014 Prelude","Amendment declared lost.","21","30"
"373","373","Ireland-seanad-minutes-2014December22-p2.html","2014/12/22","22/Dec/2014 Prelude","Question declared carried.","30","22"
"374","374","Ireland-seanad-minutes-2014December22-p2.html","2014/12/22","22/Dec/2014 Prelude","Amendment declared lost.","23","28"
"375","375","Ireland-seanad-minutes-2014December22-p2.html","2014/12/22","22/Dec/2014 Prelude","Question declared carried.","28","25"
"376","376","Ireland-seanad-minutes-2014December22-p2.html","2014/12/22","22/Dec/2014 Prelude","Question declared carried.","28","22"
"377","377","Ireland-seanad-minutes-2014February05-p10.html","2014/2/ 5","05/Feb/2014 Order of Business (Continued)","Amendment declared lost.","23","26"
"378","378","Ireland-seanad-minutes-2014February05-p46.html","2014/2/ 5","05/Feb/2014 Homelessness Strategy: Motion (Continued)","Amendment declared lost.","15","28"
"379","379","Ireland-seanad-minutes-2014February05-p47.html","2014/2/ 5","05/Feb/2014 Homelessness Strategy: Motion (Continued)","Question declared carried.","28","15"
"380","380","Ireland-seanad-minutes-2014February05-p9.html","2014/2/ 5","05/Feb/2014 Order of Business (Continued)","Amendment declared lost.","10","30"
"381","381","Ireland-seanad-minutes-2014February12-p41.html","2014/2/12","12/Feb/2014 Political Reform: Motion (Continued)","Amendment declared carried.","22","17"
"382","382","Ireland-seanad-minutes-2014February12-p42.html","2014/2/12","12/Feb/2014 Political Reform: Motion (Continued)","Question declared carried.","22","18"
"383","383","Ireland-seanad-minutes-2014February19-p10.html","2014/2/19","19/Feb/2014 Order of Business (Continued)","Amendment declared lost.","20","28"
"384","384","Ireland-seanad-minutes-2014February19-p10.html","2014/2/19","19/Feb/2014 Order of Business (Continued)","Question declared carried.","29","20"
"385","385","Ireland-seanad-minutes-2014February19-p46.html","2014/2/19","19/Feb/2014 Mental Health Services Provision: Motion (Continued)","Amendment declared carried.","30","22"
"386","386","Ireland-seanad-minutes-2014February19-p46.html","2014/2/19","19/Feb/2014 Mental Health Services Provision: Motion (Continued)","Question declared carried.","29","22"
"387","387","Ireland-seanad-minutes-2014February26-p29.html","2014/2/26","26/Feb/2014 Upward Only Rent (Clauses and Reviews) Bill 2013: Committee and Remaining Stages (Continued)","Question declared.","23","22"
"388","388","Ireland-seanad-minutes-2014February27-p8.html","2014/2/27","27/Feb/2014 Order of Business (Continued)","Amendment declared lost.","14","25"
"389","389","Ireland-seanad-minutes-2014February27-p9.html","2014/2/27","27/Feb/2014 Order of Business (Continued)","Question declared carried.","23","15"
"390","390","Ireland-seanad-minutes-2014January15-p19.html","2014/1/15","15/Jan/2014 Order of Business (Continued)","Amendment declared lost.","20","30"
"391","391","Ireland-seanad-minutes-2014January15-p21.html","2014/1/15","15/Jan/2014 Order of Business (Continued)","Amendment declared lost."," 8","39"
"392","392","Ireland-seanad-minutes-2014January15-p25.html","2014/1/15","15/Jan/2014 Local Government Reform Bill 2013: Report Stage (Continued)","Question declared carried.","27","15"
"393","393","Ireland-seanad-minutes-2014January15-p26.html","2014/1/15","15/Jan/2014 Local Government Reform Bill 2013: Report Stage (Continued)","Question declared carried.","26","19"
"394","394","Ireland-seanad-minutes-2014January15-p29.html","2014/1/15","15/Jan/2014 Local Government Reform Bill 2013: Report Stage (Continued)","Question declared carried.","29","15"
"395","395","Ireland-seanad-minutes-2014January15-p30.html","2014/1/15","15/Jan/2014 Local Government Reform Bill 2013: Report Stage (Continued)","Amendment declared carried.","29","14"
"396","396","Ireland-seanad-minutes-2014January15-p35.html","2014/1/15","15/Jan/2014 Local Government Reform Bill 2013: Report Stage (Continued)","Amendment declared lost.","16","24"
"397","397","Ireland-seanad-minutes-2014January15-p36.html","2014/1/15","15/Jan/2014 Local Government Reform Bill 2013: Report Stage (Continued)","Amendment declared lost.","14","27"
"398","398","Ireland-seanad-minutes-2014January15-p37.html","2014/1/15","15/Jan/2014 Local Government Reform Bill 2013: Report Stage (Continued)","Amendment declared lost.","17","23"
"399","399","Ireland-seanad-minutes-2014January15-p38.html","2014/1/15","15/Jan/2014 Local Government Reform Bill 2013: Report Stage (Continued)","Amendment declared lost.","13","22"
"400","400","Ireland-seanad-minutes-2014January15-p40.html","2014/1/15","15/Jan/2014 Local Government Reform Bill 2013: Report Stage (Resumed) and Final Stage (Continued)","Amendment declared lost.","13","23"
"401","401","Ireland-seanad-minutes-2014January15-p45.html","2014/1/15","15/Jan/2014 Local Government Reform Bill 2013: Report Stage (Resumed) and Final Stage (Continued)","Question declared carried.","25","17"
"402","402","Ireland-seanad-minutes-2014January22-p43.html","2014/1/22","22/Jan/2014 Recognition of Irish Sign Language for the Deaf Community Bill 2013: Second Stage (Continued)","Question declared lost.","21","24"
"403","403","Ireland-seanad-minutes-2014January22-p8.html","2014/1/22","22/Jan/2014 Order of Business (Continued)","Amendment declared lost.","13","26"
"404","404","Ireland-seanad-minutes-2014January22-p9.html","2014/1/22","22/Jan/2014 Order of Business (Continued)","Amendment declared lost.","14","26"
"405","405","Ireland-seanad-minutes-2014January23-p18.html","2014/1/23","23/Jan/2014 European Parliament Elections (Amendment) Bill 2013: Committee and Remaining Stages (Continued)","Question declared carried.","24","11"
"406","406","Ireland-seanad-minutes-2014January23-p8.html","2014/1/23","23/Jan/2014 Order of Business (Continued)","Question declared carried.","23","18"
"407","407","Ireland-seanad-minutes-2014January28-p16.html","2014/1/28","28/Jan/2014 Order of Business (Continued)","Amendment declared lost.","13","23"
"408","408","Ireland-seanad-minutes-2014January29-p34.html","2014/1/29","29/Jan/2014 Seanad Reform: Motion (Continued)","Amendment declared carried.","26","19"
"409","409","Ireland-seanad-minutes-2014January29-p34.html","2014/1/29","29/Jan/2014 Seanad Reform: Motion (Continued)","Question declared carried.","26","19"
"410","410","Ireland-seanad-minutes-2014January29-p7.html","2014/1/29","29/Jan/2014 Order of Business (Continued)","Amendment declared lost.","13","24"
"411","411","Ireland-seanad-minutes-2014July01-p41.html","2014/7/ 1","01/Jul/2014 Housing (Miscellaneous Provisions) Bill 2014: Second Stage (Continued)","Question declared carried.","28","10"
"412","412","Ireland-seanad-minutes-2014July02-p14.html","2014/7/ 2","02/Jul/2014 Social Welfare and Pensions Bill 2014: Committee Stage (Continued)","Question declared carried.","27","15"
"413","413","Ireland-seanad-minutes-2014July02-p19.html","2014/7/ 2","02/Jul/2014 Social Welfare and Pensions Bill 2014: Committee Stage (Continued)","Question declared carried.","28","13"
"414","414","Ireland-seanad-minutes-2014July02-p45.html","2014/7/ 2","02/Jul/2014 Suicide Prevention and Mental Health Fund Bill 2014: Second Stage (Continued)","Amendment declared lost.","16","24"
"415","415","Ireland-seanad-minutes-2014July03-p2.html","2014/7/ 3","03/Jul/2014 Prelude","Amendment declared lost.","15","21"
"416","416","Ireland-seanad-minutes-2014July03-p2.html","2014/7/ 3","03/Jul/2014 Prelude","Question declared carried.","24"," 8"
"417","417","Ireland-seanad-minutes-2014July08-p2.html","2014/7/ 8","08/Jul/2014 Prelude","Amendment declared lost.","21","25"
"418","418","Ireland-seanad-minutes-2014July08-p2.html","2014/7/ 8","08/Jul/2014 Prelude","Amendment declared lost.","16","32"
"419","419","Ireland-seanad-minutes-2014July08-p2.html","2014/7/ 8","08/Jul/2014 Prelude","Question declared carried.","32","16"
"420","420","Ireland-seanad-minutes-2014July08-p2.html","2014/7/ 8","08/Jul/2014 Prelude","Question declared carried.","26"," 7"
"421","421","Ireland-seanad-minutes-2014July08-p2.html","2014/7/ 8","08/Jul/2014 Prelude","Amendment declared lost."," 7","26"
"422","422","Ireland-seanad-minutes-2014July09-p2.html","2014/7/ 9","09/Jul/2014 Prelude","Amendment declared lost.","22","26"
"423","423","Ireland-seanad-minutes-2014July09-p2.html","2014/7/ 9","09/Jul/2014 Prelude","Question declared carried.","25","21"
"424","424","Ireland-seanad-minutes-2014July09-p2.html","2014/7/ 9","09/Jul/2014 Prelude","Question declared carried.","25","21"
"425","425","Ireland-seanad-minutes-2014July09-p2.html","2014/7/ 9","09/Jul/2014 Prelude","Question declared carried.","28","20"
"426","426","Ireland-seanad-minutes-2014July09-p2.html","2014/7/ 9","09/Jul/2014 Prelude","Amendment declared carried.","27","26"
"427","427","Ireland-seanad-minutes-2014July09-p2.html","2014/7/ 9","09/Jul/2014 Prelude","Amendment declared lost."," 5","44"
"428","428","Ireland-seanad-minutes-2014July09-p2.html","2014/7/ 9","09/Jul/2014 Prelude","Question declared carried.","34","15"
"429","429","Ireland-seanad-minutes-2014July10-p2.html","2014/7/10","10/Jul/2014 Prelude","Amendment declared lost.","15","29"
"430","430","Ireland-seanad-minutes-2014July10-p2.html","2014/7/10","10/Jul/2014 Prelude","Question declared carried.","32","12"
"431","431","Ireland-seanad-minutes-2014July10-p2.html","2014/7/10","10/Jul/2014 Prelude","Amendment declared lost.","17","25"
"432","432","Ireland-seanad-minutes-2014July10-p2.html","2014/7/10","10/Jul/2014 Prelude","Amendment declared lost."," 7","27"
"433","433","Ireland-seanad-minutes-2014July10-p2.html","2014/7/10","10/Jul/2014 Prelude","Amendment declared lost.","11","24"
"434","434","Ireland-seanad-minutes-2014July10-p2.html","2014/7/10","10/Jul/2014 Prelude","Amendment declared carried.","20","10"
"435","435","Ireland-seanad-minutes-2014July15-p2.html","2014/7/15","15/Jul/2014 Prelude","Amendment declared lost.","16","25"
"436","436","Ireland-seanad-minutes-2014July15-p2.html","2014/7/15","15/Jul/2014 Prelude","Amendment declared lost.","11","30"
"437","437","Ireland-seanad-minutes-2014July15-p2.html","2014/7/15","15/Jul/2014 Prelude","Question declared carried.","27","11"
"438","438","Ireland-seanad-minutes-2014July15-p2.html","2014/7/15","15/Jul/2014 Prelude","Question declared carried.","30","11"
"439","439","Ireland-seanad-minutes-2014July15-p2.html","2014/7/15","15/Jul/2014 Prelude","Amendment declared lost.","12","27"
"440","440","Ireland-seanad-minutes-2014July15-p2.html","2014/7/15","15/Jul/2014 Prelude","Question declared carried.","29"," 5"
"441","441","Ireland-seanad-minutes-2014July16-p2.html","2014/7/16","16/Jul/2014 Prelude","Amendment declared lost.","19","26"
"442","442","Ireland-seanad-minutes-2014July16-p2.html","2014/7/16","16/Jul/2014 Prelude","Question declared carried.","32","13"
"443","443","Ireland-seanad-minutes-2014July16-p2.html","2014/7/16","16/Jul/2014 Prelude","Amendment declared lost.","12","27"
"444","444","Ireland-seanad-minutes-2014July16-p2.html","2014/7/16","16/Jul/2014 Prelude","Amendment declared lost.","14","28"
"445","445","Ireland-seanad-minutes-2014July16-p2.html","2014/7/16","16/Jul/2014 Prelude","Amendment declared lost.","15","26"
"446","446","Ireland-seanad-minutes-2014July17-p2.html","2014/7/17","17/Jul/2014 Prelude","Amendment declared lost.","15","25"
"447","447","Ireland-seanad-minutes-2014July17-p2.html","2014/7/17","17/Jul/2014 Prelude","Question declared carried.","37"," 6"
"448","448","Ireland-seanad-minutes-2014July17-p2.html","2014/7/17","17/Jul/2014 Prelude","Question declared carried.","39"," 6"
"449","449","Ireland-seanad-minutes-2014July17-p2.html","2014/7/17","17/Jul/2014 Prelude","Amendment declared lost.","15","23"
"450","450","Ireland-seanad-minutes-2014July17-p2.html","2014/7/17","17/Jul/2014 Prelude","Question declared carried.","29"," 5"
"451","451","Ireland-seanad-minutes-2014June04-p2.html","2014/6/ 4","04/Jun/2014 Prelude","Amendment declared lost.","17","22"
"452","452","Ireland-seanad-minutes-2014June04-p2.html","2014/6/ 4","04/Jun/2014 Prelude","Question declared carried.","22","17"
"453","453","Ireland-seanad-minutes-2014June04-p2.html","2014/6/ 4","04/Jun/2014 Prelude","Question declared carried.","27","11"
"454","454","Ireland-seanad-minutes-2014June04-p2.html","2014/6/ 4","04/Jun/2014 Prelude","Question declared carried.","22","15"
"455","455","Ireland-seanad-minutes-2014June04-p2.html","2014/6/ 4","04/Jun/2014 Prelude","Amendment declared carried.","18","16"
"456","456","Ireland-seanad-minutes-2014June04-p2.html","2014/6/ 4","04/Jun/2014 Prelude","Question declared carried.","18","16"
"457","457","Ireland-seanad-minutes-2014June10-p16.html","2014/6/10","10/Jun/2014 Order of Business (Continued)","Amendment declared lost.","17","27"
"458","458","Ireland-seanad-minutes-2014June10-p17.html","2014/6/10","10/Jun/2014 Order of Business (Continued)","Amendment declared lost.","17","26"
"459","459","Ireland-seanad-minutes-2014June10-p18.html","2014/6/10","10/Jun/2014 Order of Business (Continued)","Question declared carried.","28","16"
"460","460","Ireland-seanad-minutes-2014June10-p34.html","2014/6/10","10/Jun/2014 State Airports (Shannon Group) Bill 2014: Committee Stage (Resumed) (Continued)","Amendment declared lost.","16","21"
