"","Number","File","Date","Subject","Result","TA_Tally","NIL_Tally"
"154","154","Ireland-seanad-minutes-2013January29-p45.html","2013/1/29","29/Jan/2013 Water Services Bill 2013: Committee and Remaining Stages (Continued)","Question declared carried.","23","10"
"155","155","Ireland-seanad-minutes-2013January29-p48.html","2013/1/29","29/Jan/2013 Water Services Bill 2013: Committee and Remaining Stages (Continued)","Question declared carried.","24"," 9"
"156","156","Ireland-seanad-minutes-2013July02-p20.html","2013/7/ 2","02/Jul/2013 Order of Business (Resumed) (Continued)","Question declared carried.","36","16"
"157","157","Ireland-seanad-minutes-2013July03-p10.html","2013/7/ 3","03/Jul/2013 Order of Business (Continued)","Amendment declared lost.","18","32"
"158","158","Ireland-seanad-minutes-2013July03-p9.html","2013/7/ 3","03/Jul/2013 Order of Business (Continued)","Amendment declared lost.","20","31"
"159","159","Ireland-seanad-minutes-2013July04-p10.html","2013/7/ 4","04/Jul/2013 Order of Business (Continued)","Question declared carried.","29","15"
"160","160","Ireland-seanad-minutes-2013July04-p40.html","2013/7/ 4","04/Jul/2013 Thirty-second Amendment of the Constitution (Abolition of Seanad Ã‰ireann) Bill 2013: Second Stage (Resumed): Second Stage (Resumed) (Continued)","Question declared carried.","29","22"
"161","161","Ireland-seanad-minutes-2013July04-p41.html","2013/7/ 4","04/Jul/2013 Thirty-second Amendment of the Constitution (Abolition of Seanad Ã‰ireann) Bill 2013: Second Stage (Resumed): Second Stage (Resumed) (Continued)","Question declared carried.","29","22"
"162","162","Ireland-seanad-minutes-2013July04-p9.html","2013/7/ 4","04/Jul/2013 Order of Business (Continued)","Amendment declared lost.","16","28"
"163","163","Ireland-seanad-minutes-2013July09-p17.html","2013/7/ 9","09/Jul/2013 Order of Business (Continued)","Amendment declared lost.","16","30"
"164","164","Ireland-seanad-minutes-2013July09-p18.html","2013/7/ 9","09/Jul/2013 Order of Business (Continued)","Amendment declared lost.","15","32"
"165","165","Ireland-seanad-minutes-2013July09-p36.html","2013/7/ 9","09/Jul/2013 Land and Conveyancing Law Reform Bill 2013: Second Stage (Continued)","Question declared carried.","30","16"
"166","166","Ireland-seanad-minutes-2013July10-p10.html","2013/7/10","10/Jul/2013 Order of Business (Continued)","Question declared carried.","32","20"
"167","167","Ireland-seanad-minutes-2013July10-p55.html","2013/7/10","10/Jul/2013 Business of Seanad (Continued)","Question declared carried.","29","19"
"168","168","Ireland-seanad-minutes-2013July10-p9.html","2013/7/10","10/Jul/2013 Order of Business (Continued)","Amendment declared lost.","19","31"
"169","169","Ireland-seanad-minutes-2013July10-p9.html","2013/7/10","10/Jul/2013 Order of Business (Continued)","Amendment declared carried.","33","19"
"170","170","Ireland-seanad-minutes-2013July11-p10.html","2013/7/11","11/Jul/2013 Order of Business (Continued)","Amendment declared lost.","16","30"
"171","171","Ireland-seanad-minutes-2013July11-p11.html","2013/7/11","11/Jul/2013 Order of Business (Continued)","Amendment declared lost.","16","31"
"172","172","Ireland-seanad-minutes-2013July11-p12.html","2013/7/11","11/Jul/2013 Order of Business (Continued)","Amendment declared lost.","19","29"
"173","173","Ireland-seanad-minutes-2013July11-p13.html","2013/7/11","11/Jul/2013 Order of Business (Continued)","Amendment declared lost.","17","28"
"174","174","Ireland-seanad-minutes-2013July11-p35.html","2013/7/11","11/Jul/2013 Thirty-second Amendment of the Constitution (Abolition of Seanad Ã‰ireann) Bill 2013: Committee Stage (Resumed) (Continued)","Question declared carried.","29","18"
"175","175","Ireland-seanad-minutes-2013July11-p36.html","2013/7/11","11/Jul/2013 Thirty-second Amendment of the Constitution (Abolition of Seanad Ã‰ireann) Bill 2013: Committee Stage (Resumed) (Continued)","Question declared carried.","29","18"
"176","176","Ireland-seanad-minutes-2013July11-p37.html","2013/7/11","11/Jul/2013 Thirty-second Amendment of the Constitution (Abolition of Seanad Ã‰ireann) Bill 2013: Committee Stage (Resumed) (Continued)","Question declared carried.","29","18"
"177","177","Ireland-seanad-minutes-2013July11-p45.html","2013/7/11","11/Jul/2013 Thirty-second Amendment of the Constitution (Abolition of Seanad Ã‰ireann) Bill 2013: Committee Stage (Resumed) (Continued)","Question declared carried.","30","19"
"178","178","Ireland-seanad-minutes-2013July11-p46.html","2013/7/11","11/Jul/2013 Thirty-second Amendment of the Constitution (Abolition of Seanad Ã‰ireann) Bill 2013: Committee Stage (Resumed) (Continued)","Question declared carried.","30","19"
"179","179","Ireland-seanad-minutes-2013July12-p13.html","2013/7/12","12/Jul/2013 Land and Conveyancing Law Reform Bill 2013: Committee Stage (Continued)","Question declared carried.","27"," 8"
"180","180","Ireland-seanad-minutes-2013July12-p8.html","2013/7/12","12/Jul/2013 Order of Business (Continued)","Amendment declared lost.","10","27"
"181","181","Ireland-seanad-minutes-2013July15-p18.html","2013/7/15","15/Jul/2013 Order of Business (Resumed) (Continued)","Amendment declared lost.","19","30"
"182","182","Ireland-seanad-minutes-2013July15-p20.html","2013/7/15","15/Jul/2013 Order of Business (Resumed) (Continued)","Amendment declared lost.","12","37"
"183","183","Ireland-seanad-minutes-2013July15-p21.html","2013/7/15","15/Jul/2013 Order of Business (Resumed) (Continued)","Question declared carried.","33","12"
"184","184","Ireland-seanad-minutes-2013July16-p41.html","2013/7/16","16/Jul/2013 Protection of Life During Pregnancy Bill 2013: Second Stage (Resumed) (Continued)","Question declared carried.","41","15"
"185","185","Ireland-seanad-minutes-2013July16-p42.html","2013/7/16","16/Jul/2013 Protection of Life During Pregnancy Bill 2013: Second Stage (Resumed) (Continued)","Question declared carried.","42","14"
"186","186","Ireland-seanad-minutes-2013July16-p50.html","2013/7/16","16/Jul/2013 Land and Conveyancing Law Reform Bill 2013: Report Stage (Continued)","Amendment declared lost.","17","27"
