Year,Month,Day,File_Name,Subject,Non-RCV Result
2004,January,30,Ireland-seanad-minutes-2004January30-p6.html,30/Jan/2004 Immigration Bill 2004: Committee and Remaining Stages.,Title agreed to.
2004,January,30,Ireland-seanad-minutes-2004January30-p6.html,30/Jan/2004 Immigration Bill 2004: Committee and Remaining Stages.,Question put and agreed to.
2004,February,04,Ireland-seanad-minutes-2004February04-p4.html,04/Feb/2004 Order of Business.,Order of Business agreed to.
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,"Sections 1 to 13, inclusive, agreed to."
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,Section 14 agreed to.
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,"Sections 15 to 17, inclusive, agreed to."
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,Amendment declared lost.
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,"Question, That the words proposed to be deleted stand, put and declared carried."
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,Amendment declared lost.
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,"Question, That the words proposed to be deleted stand, put and declared carried."
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,Amendment declared lost.
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,"Question, That the words proposed to be deleted stand, put and declared carried."
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,Amendment declared lost.
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,Section 18 agreed to.
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,Amendment put and declared lost.
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,Section 19 agreed to.
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,"Sections 20 to 22, inclusive, agreed to."
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,Title agreed to.
2004,February,04,Ireland-seanad-minutes-2004February04-p5.html,04/Feb/2004 An Bord Bia (Amendment) Bill 2003: Committee and Remaining Stages.,Question put and agreed to.
2004,February,04,Ireland-seanad-minutes-2004February04-p7.html,04/Feb/2004 Equality Bill 2004: Order for Second Stage.,Question put and agreed to.
2004,February,04,Ireland-seanad-minutes-2004February04-p8.html,04/Feb/2004 Equality Bill 2004: Second Stage.,Ms White:We agreed earlier to change the order and that Senator Tuffy would speak next.
2004,February,04,Ireland-seanad-minutes-2004February04-p8.html,04/Feb/2004 Equality Bill 2004: Second Stage.,Question put and agreed to.
2004,February,04,Ireland-seanad-minutes-2004February04-p9.html,04/Feb/2004 Israel-Palestine: Motion.,An Cathaoirleach:Is that agreed? Agreed.
2004,February,04,Ireland-seanad-minutes-2004February04-p9.html,04/Feb/2004 Israel-Palestine: Motion.,Question put and agreed to.
2004,February,05,Ireland-seanad-minutes-2004February05-p4.html,05/Feb/2004 Order of Business.,Order of Business agreed to.
2004,February,05,Ireland-seanad-minutes-2004February05-p5.html,05/Feb/2004 Interventions in Debate: Motion.,Question put and agreed to.
2004,February,11,Ireland-seanad-minutes-2004February11-p10.html,11/Feb/2004 Civil Registration Bill 2003: Second Stage.,An Leas-Chathaoirleach:Is that agreed? Agreed.
2004,February,11,Ireland-seanad-minutes-2004February11-p11.html,11/Feb/2004 Regional Development: Motion.,An Cathaoirleach:Is that agreed? Agreed.
2004,February,11,Ireland-seanad-minutes-2004February11-p11.html,11/Feb/2004 Regional Development: Motion.,An Cathaoirleach:Is that agreed? Agreed.
2004,February,11,Ireland-seanad-minutes-2004February11-p11.html,11/Feb/2004 Regional Development: Motion.,An Leas-Chathaoirleach:Is that agreed? Agreed.
2004,February,11,Ireland-seanad-minutes-2004February11-p11.html,11/Feb/2004 Regional Development: Motion.,[690]An Leas-Chathaoirleach:Is that agreed? Agreed.
2004,February,11,Ireland-seanad-minutes-2004February11-p11.html,11/Feb/2004 Regional Development: Motion.,An Leas-Chathaoirleach:Is that agreed? Agreed.
2004,February,11,Ireland-seanad-minutes-2004February11-p11.html,11/Feb/2004 Regional Development: Motion.,[695]Amendment declared lost.
2004,February,11,Ireland-seanad-minutes-2004February11-p11.html,11/Feb/2004 Regional Development: Motion.,Motion put and declared carried.
2004,February,11,Ireland-seanad-minutes-2004February11-p12.html,11/Feb/2004 Civil Registration Bill 2003: Second Stage (Resumed).,Question put and agreed to.
2004,February,11,Ireland-seanad-minutes-2004February11-p15.html,11/Feb/2004 Water Sports Vehicles.,An Cathaoirleach:Is that agreed? Agreed.
2004,February,11,Ireland-seanad-minutes-2004February11-p4.html,11/Feb/2004 Order of Business.,Question put: That the Order of Business be agreed to.
2004,February,11,Ireland-seanad-minutes-2004February11-p5.html,11/Feb/2004 Presidential Appointment: Motion.,Question put and agreed to.
2004,February,11,Ireland-seanad-minutes-2004February11-p6.html,11/Feb/2004 Immigration Bill 2004 [Seanad Bill amended by the D&aacute;il]: Report and Final Stages.,An Leas-Chathaoirleach:Is Report Stage agreed?
2004,February,11,Ireland-seanad-minutes-2004February11-p6.html,11/Feb/2004 Immigration Bill 2004 [Seanad Bill amended by the D&aacute;il]: Report and Final Stages.,Question put and declared carried.
2004,February,11,Ireland-seanad-minutes-2004February11-p8.html,11/Feb/2004 Business of Seanad.,Acting Chairman:Is the proposal to amend the Order of Business agreed to? Agreed.
2004,February,11,Ireland-seanad-minutes-2004February11-p9.html,11/Feb/2004 Electronic Voting: Statements.,Acting Chairman:Is that agreed? Agreed.
2004,February,11,Ireland-seanad-minutes-2004February11-p9.html,11/Feb/2004 Electronic Voting: Statements.,Acting Chairman:Is the House agreed? Agreed.
2004,February,11,Ireland-seanad-minutes-2004February11-p9.html,11/Feb/2004 Electronic Voting: Statements.,"Acting Chairman:I have been told I must conclude the debate at 4 p.m., as the House agreed."
2004,February,12,Ireland-seanad-minutes-2004February12-p4.html,12/Feb/2004 Order of Business.,Order of Business agreed to.
2004,February,12,Ireland-seanad-minutes-2004February12-p5.html,12/Feb/2004 European Parliament Elections (Amendment) Bill 2003: Second Stage.,An Leas-Chathaoirleach:Is that agreed? Agreed.
2004,February,12,Ireland-seanad-minutes-2004February12-p5.html,12/Feb/2004 European Parliament Elections (Amendment) Bill 2003: Second Stage.,Question put and agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p5.html,18/Feb/2004 Order of Business.,Order of Business agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p6.html,18/Feb/2004 Equality Bill 2004: Committee Stage.,Sections 1 and 2 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p6.html,18/Feb/2004 Equality Bill 2004: Committee Stage.,Amendment agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p6.html,18/Feb/2004 Equality Bill 2004: Committee Stage.,Amendment agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p6.html,18/Feb/2004 Equality Bill 2004: Committee Stage.,Amendment agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p6.html,18/Feb/2004 Equality Bill 2004: Committee Stage.,"Section 3, as amended, agreed to."
2004,February,18,Ireland-seanad-minutes-2004February18-p6.html,18/Feb/2004 Equality Bill 2004: Committee Stage.,Section 4 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p6.html,18/Feb/2004 Equality Bill 2004: Committee Stage.,Section 5 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p6.html,18/Feb/2004 Equality Bill 2004: Committee Stage.,"Sections 6 to 8, inclusive, agreed to."
2004,February,18,Ireland-seanad-minutes-2004February18-p6.html,18/Feb/2004 Equality Bill 2004: Committee Stage.,Section 9 agreed to.
