Year,Month,Day,Vote #,Subject,Result,Ta/Nil,Tally,Legislator1,Legislator2,Legislator3,Legislator4,Legislator5,Legislator6,Legislator7,Legislator8,Legislator9,Legislator10,Legislator11,Legislator12,Legislator13,Legislator14,Legislator15,Legislator16,Legislator17,Legislator18,Legislator19,Legislator20,Legislator21,Legislator22,Legislator23,Legislator24,Legislator25,Legislator26,Legislator27,Legislator28,Legislator29,Legislator30,Legislator31,Legislator32,Legislator33,Legislator34,Legislator35,Legislator36,Legislator37,Legislator38,Legislator39,Legislator40,Legislator41,Legislator42,Legislator43,Legislator44,Legislator45,Legislator46,Legislator47,Legislator48,Legislator49,Legislator50,Legislator51,Legislator52,Legislator53,Legislator54
2012,December,12,1,12/Dec/2012 Order of Business (Continued),Question declared carried.,TA,33,IvanaBacik,SeanDBarrett,PaulBradford,TerryBrennan,ColmBurke,DeirdreClune,EamonnCoghlan,PaulCoghlan,MichaelComiskey,MartinConway,JohnCrown,MauriceCummins,JimDarcy,JohnGilroy,JimmyHarte,AideenHayden,FidelmaHealyEames,ImeldaHenry,LorraineHiggins,CaitKeane,JohnKelly,DenisLandy,MarieMoloney,MaryMoran,TonyMulcahy,MichaelMullins,CatherineNoone,DavidNorris,MarieLouiseODonnell,SusanOKeeffe,PatONeill,TomSheahan,JillianVanTurnhout,,,,,,,,,,,,,,,,,,,,,
2012,December,12,1,12/Dec/2012 Order of Business (Continued),Question declared carried.,NIL,13,ThomasByrne,DavidCullinane,MarkDaly,TerryLeyden,MarcMacSharry,TrevorOClochartaigh,BrianODomhnaill,LabhrasOMurchu,DarraghOBrien,AverilPower,KathrynReilly,MaryMWhite,DiarmuidWilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,December,12,2,12/Dec/2012 National Vetting Bureau (Children and Vulnerable Persons) Bill 2012: Report and Final Stages (Continued),Amendment declared lost.,TA,17,SeanDBarrett,JohnCrown,DavidCullinane,MarkDaly,TerryLeyden,FiachMacConghail,MarcMacSharry,PaschalMooney,DarraghOBrien,NedOSullivan,TrevorOClochartaigh,BrianODomhnaill,AverilPower,FergalQuinn,JillianVanTurnhout,DiarmuidWilson,KatherineZappone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,December,12,2,12/Dec/2012 National Vetting Bureau (Children and Vulnerable Persons) Bill 2012: Report and Final Stages (Continued),Amendment declared lost.,NIL,26,IvanaBacik,PaulBradford,TerryBrennan,ColmBurke,PaulCoghlan,MichaelComiskey,MartinConway,MauriceCummins,JimDarcy,JohnGilroy,JimmyHarte,AideenHayden,FidelmaHealyEames,ImeldaHenry,LorraineHiggins,CaitKeane,JohnKelly,DenisLandy,MarieMoloney,MaryMoran,TonyMulcahy,MichaelMullins,CatherineNoone,SusanOKeeffe,PatONeill,TomSheahan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,December,12,3,12/Dec/2012 Shannon Airport: Motion (Continued),Amendment declared lost.,TA,13,ThomasByrne,DavidCullinane,MarkDaly,TerryLeyden,MarcMacSharry,PaschalMooney,TrevorOClochartaigh,LabhrasOMurchu,DarraghOBrien,NedOSullivan,AverilPower,KathrynReilly,DiarmuidWilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,December,12,3,12/Dec/2012 Shannon Airport: Motion (Continued),Amendment declared lost.,NIL,28,IvanaBacik,SeanDBarrett,PaulBradford,TerryBrennan,ColmBurke,DeirdreClune,PaulCoghlan,MichaelComiskey,MartinConway,MauriceCummins,JimDarcy,JohnGilroy,JimmyHarte,AideenHayden,ImeldaHenry,LorraineHiggins,CaitKeane,JohnKelly,DenisLandy,MarieMoloney,MaryMoran,TonyMulcahy,MichaelMullins,CatherineNoone,SusanOKeeffe,PatONeill,FergalQuinn,TomSheahan,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,December,12,4,12/Dec/2012 Credit Union Bill 2012: Report and Final Stages (Continued),Question declared carried.,TA,30,IvanaBacik,PaulBradford,TerryBrennan,ColmBurke,DeirdreClune,PaulCoghlan,MichaelComiskey,MartinConway,MauriceCummins,JimDarcy,MichaelWDArcy,JohnGilroy,JimmyHarte,AideenHayden,FidelmaHealyEames,ImeldaHenry,LorraineHiggins,CaitKeane,JohnKelly,DenisLandy,FiachMacConghail,MarieMoloney,MaryMoran,TonyMulcahy,MichaelMullins,CatherineNoone,SusanOKeeffe,FergalQuinn,TomSheahan,KatherineZappone,,,,,,,,,,,,,,,,,,,,,,,,
2012,December,12,4,12/Dec/2012 Credit Union Bill 2012: Report and Final Stages (Continued),Question declared carried.,NIL,10,ThomasByrne,DavidCullinane,TerryLeyden,PaschalMooney,TrevorOClochartaigh,LabhrasOMurchu,DarraghOBrien,NedOSullivan,KathrynReilly,DiarmuidWilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,December,12,5,12/Dec/2012 Order of Business (Continued),Amendment declared lost.,TA,14,ThomasByrne,DavidCullinane,MarkDaly,TerryLeyden,MarcMacSharry,DavidNorris,TrevorOClochartaigh,BrianODomhnaill,LabhrasOMurchu,DarraghOBrien,AverilPower,KathrynReilly,MaryMWhite,DiarmuidWilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,December,12,5,12/Dec/2012 Order of Business (Continued),Amendment declared lost.,NIL,32,IvanaBacik,SeanDBarrett,PaulBradford,TerryBrennan,ColmBurke,DeirdreClune,EamonnCoghlan,PaulCoghlan,MichaelComiskey,MartinConway,JohnCrown,MauriceCummins,JimDarcy,JohnGilroy,JimmyHarte,AideenHayden,FidelmaHealyEames,ImeldaHenry,LorraineHiggins,CaitKeane,JohnKelly,DenisLandy,MarieMoloney,MaryMoran,TonyMulcahy,MichaelMullins,CatherineNoone,MarieLouiseODonnell,SusanOKeeffe,PatONeill,TomSheahan,JillianVanTurnhout,,,,,,,,,,,,,,,,,,,,,,
