Year,Month,Day,URL
1988,January,20,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988012000001?opendocument
1988,January,21,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988012100001?opendocument
1988,June,02,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988060200001?opendocument
1988,June,01,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988060100001?opendocument
1988,June,15,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988061500001?opendocument
1988,June,14,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988061400001?opendocument
1988,June,22,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988062200001?opendocument
1988,June,16,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988061600001?opendocument
1988,June,23,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988062300001?opendocument
1988,June,08,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988060800001?opendocument
1988,June,09,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988060900001?opendocument
1988,June,28,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988062800001?opendocument
1988,June,29,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988062900001?opendocument
1988,June,30,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988063000001?opendocument
1988,June,21,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988062100001?opendocument
1988,September,21,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988092100001?opendocument
1988,September,22,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988092200001?opendocument
1988,April,27,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988042700001?opendocument
1988,April,28,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988042800001?opendocument
1988,December,08,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988120800001?opendocument
1988,December,16,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988121600001?opendocument
1988,December,15,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988121500001?opendocument
1988,December,07,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988120700001?opendocument
1988,December,14,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988121400001?opendocument
1988,July,13,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988071300001?opendocument
1988,July,12,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988071200001?opendocument
1988,July,06,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988070600001?opendocument
1988,July,07,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988070700001?opendocument
1988,July,05,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988070500001?opendocument
1988,November,02,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988110200001?opendocument
1988,November,24,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988112400001?opendocument
1988,November,09,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988110900001?opendocument
1988,November,23,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988112300001?opendocument
1988,November,30,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988113000001?opendocument
1988,November,16,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1988111600001?opendocument
1989,February,02,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989020200001?opendocument
1989,February,01,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989020100001?opendocument
1989,February,15,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989021500001?opendocument
1989,February,22,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989022200001?opendocument
1989,February,16,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989021600001?opendocument
1989,February,08,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989020800001?opendocument
1989,February,09,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989020900001?opendocument
1989,March,08,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989030800001?opendocument
1989,March,01,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989030100001?opendocument
1989,March,15,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989031500001?opendocument
1989,March,16,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989031600001?opendocument
1989,May,11,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989051100001?opendocument
1989,May,03,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989050300001?opendocument
1989,May,17,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989051700001?opendocument
1989,May,10,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989051000001?opendocument
1989,May,18,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989051800001?opendocument
1989,May,31,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989053100001?opendocument
1989,May,24,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989052400001?opendocument
1989,January,19,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989011900001?opendocument
1989,January,18,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989011800001?opendocument
1989,June,01,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989060100001?opendocument
1989,April,13,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989041300001?opendocument
1989,April,27,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989042700001?opendocument
1989,April,20,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989042000001?opendocument
1989,April,19,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989041900001?opendocument
1989,April,26,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989042600001?opendocument
1989,April,12,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989041200001?opendocument
1989,December,19,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989121900001?opendocument
1989,December,13,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989121300001?opendocument
1989,December,06,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989120600001?opendocument
1989,December,07,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989120700001?opendocument
1989,December,14,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989121400001?opendocument
1989,July,05,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989070500001?opendocument
1989,November,01,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989110100001?opendocument
1989,November,15,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989111500001?opendocument
1989,November,22,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989112200001?opendocument
1989,November,16,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989111600001?opendocument
1989,November,23,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989112300001?opendocument
1989,November,08,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989110800001?opendocument
1989,November,09,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989110900001?opendocument
1989,November,29,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989112900001?opendocument
1989,November,30,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1989113000001?opendocument
1990,February,15,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990021500001?opendocument
1990,February,07,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990020700001?opendocument
1990,February,22,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990022200001?opendocument
1990,February,08,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990020800001?opendocument
1990,February,28,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990022800001?opendocument
1990,February,14,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990021400001?opendocument
1990,February,21,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990022100001?opendocument
1990,October,31,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990103100001?opendocument
1990,March,01,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990030100001?opendocument
1990,March,15,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990031500001?opendocument
1990,March,07,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990030700001?opendocument
1990,March,22,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990032200001?opendocument
1990,March,08,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990030800001?opendocument
1990,March,28,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990032800001?opendocument
1990,March,29,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990032900001?opendocument
1990,March,14,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990031400001?opendocument
1990,March,21,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990032100001?opendocument
1990,August,28,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990082800001?opendocument
1990,August,29,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990082900001?opendocument
1990,May,24,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990052400001?opendocument
1990,May,10,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990051000001?opendocument
1990,May,30,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990053000001?opendocument
1990,May,17,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990051700001?opendocument
1990,May,23,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990052300001?opendocument
1990,May,31,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990053100001?opendocument
1990,May,09,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990050900001?opendocument
1990,May,16,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990051600001?opendocument
1990,May,25,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990052500001?opendocument
1990,June,13,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990061300001?opendocument
1990,June,27,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990062700001?opendocument
1990,June,20,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990062000001?opendocument
1990,June,07,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990060700001?opendocument
1990,June,28,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990062800001?opendocument
1990,June,14,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990061400001?opendocument
1990,June,06,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990060600001?opendocument
1990,June,21,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990062100001?opendocument
1990,April,03,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990040300001?opendocument
1990,April,04,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990040400001?opendocument
1990,April,05,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990040500001?opendocument
1990,December,13,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990121300001?opendocument
1990,December,12,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990121200001?opendocument
1990,December,06,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990120600001?opendocument
1990,December,05,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990120500001?opendocument
1990,December,19,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990121900001?opendocument
1990,December,18,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990121800001?opendocument
1990,December,20,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990122000001?opendocument
1990,July,11,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990071100001?opendocument
1990,July,10,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990071000001?opendocument
1990,July,12,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990071200001?opendocument
1990,July,04,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990070400001?opendocument
1990,July,17,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990071700001?opendocument
1990,July,05,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990070500001?opendocument
1990,July,19,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990071900001?opendocument
1990,July,18,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990071800001?opendocument
1990,November,01,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990110100001?opendocument
1990,November,15,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990111500001?opendocument
1990,November,14,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990111400001?opendocument
1990,November,22,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990112200001?opendocument
1990,November,28,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990112800001?opendocument
1990,November,29,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990112900001?opendocument
1990,November,21,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1990112100001?opendocument
1991,February,13,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1991021300001?opendocument
1991,February,27,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1991022700001?opendocument
1991,February,20,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1991022000001?opendocument
1991,February,07,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1991020700001?opendocument
1991,February,28,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1991022800001?opendocument
1991,February,14,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1991021400001?opendocument
1991,February,06,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1991020600001?opendocument
1991,February,21,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1991022100001?opendocument
1991,October,24,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1991102400001?opendocument
1991,October,31,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1991103100001?opendocument
1991,October,30,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1991103000001?opendocument
1991,October,23,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1991102300001?opendocument
1991,March,13,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1991031300001?opendocument
1991,March,06,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1991030600001?opendocument
1991,March,20,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1991032000001?opendocument
1991,March,07,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1991030700001?opendocument
1991,March,21,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1991032100001?opendocument
1991,March,26,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1991032600001?opendocument
1991,March,15,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1991031500001?opendocument
1991,March,14,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1991031400001?opendocument
1991,May,02,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1991050200001?opendocument
1991,May,03,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1991050300001?opendocument
1991,May,01,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1991050100001?opendocument
1991,May,15,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1991051500001?opendocument
1991,May,22,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1991052200001?opendocument
1991,May,17,oireachtasdebates.oireachtas.ie/debates%20authoring/debateswebpack.nsf/takes/seanad1991051700001?opendocument
